,Area_code,Age_group,Sample_size,Positive,Symptom,ses,Pop,death
122,13131,2,4,0,1,19.72,22028,39
10,13103,2,15,0,3,18.96,36071,47
62,13116,2,7,0,3,18.22,26332,43
46,13112,2,13,1,6,16.97,44221,68
65,13117,1,13,5,7,24.46,56866,3
13,13104,1,15,2,7,22.94,76996,5
121,13131,1,7,1,3,19.72,47098,7
9,13103,1,22,5,9,18.96,81173,13
61,13116,1,6,0,1,18.22,59055,5
45,13112,1,27,5,13,16.97,117152,16
